Systema(c,Raw,Common,Genbank,Column5,Gene SymboDescrip(on,,
1440313_at,12.21884,Fuca2,BB773379,null,"BB773379 RIKEN full?length enriched, B cells CRL?1669 BCL1 Clone 13.20?3B3 cDNA clone G430003B22 3'",,
1447819_x_at,12.20887,null,BB546487,null,"BB546487 RIKEN full?length enriched, 0 day neonate eyeball Mus musculus cDNA clone E130310F06 3', mRNA sequence.",,
1416031_s_at,12.1989,Mcmd7,NM_008568,Mcm7,minichromosome maintenance deficient 7 (S. cerevisiae),,
1420042_at,12.19259,Usp14,AW107924,null,Ubiqui(n specific pep(dase 14,,
1449073_at,12.18118,1110055E19Rik,NM_026839,Flnc,null,,
1432426_a_at,12.17826,AI851109,AK007960,Ube2f,ubiqui(n?conjuga(ng enzyme E2F (puta(ve),,
1455946_x_at,12.17731,Tmsb10,AV148480,null,"Thymosin, beta 10",,
1452690_at,12.16701,KSRP,BQ174458,Khsrp,KH?type splicing regulatory protein,,
1453229_s_at,12.16519,2210416J04Rik,AK019085,Uqcrh,ubiquinol?cytochrome c reductase hinge protein,,
1445586_at,12.15899,Cadps,BB283411,null,Ca<2+>dependent ac(vator protein for secre(on,,
1439444_x_at,12.15764,Tmed10,AV213456,null,Transmembrane emp24?like trafficking protein 10 (yeast),,
1448226_at,12.15655,R2,NM_009104,Rrm2,ribonucleo(de reductase M2,,
1436157_at,12.15267,Carp1,AW538049 ,Ccar1,cell division cycle and apoptosis regulator 1,,
1455865_at,12.15037,Insm1,BB468410,null,"BB468410 RIKEN full?length enriched, 12 days embryo eyeball cDNA clone D230019F12 3' similar to zinc?finger DNA?binding mo(fs",,
1425354_a_at,12.14391,Peg3,BC027286,Aggf1,angiogenic factor with G patch and FHA domains 1,,
1421802_at,12.13788,MGC151437,NM_007894,Ear1,"eosinophil?associated, ribonuclease A family, member 1",,
1422309_a_at,12.11819,Lep503,NM_020517,Lenep,lens epithelial protein,,
1447092_at,12.09846,Pecam1,BG063222,null,Platelet/endothelial cell adhesion molecule 1,,
1434799_x_at,12.09788,Aldoa,BG793658,null,"Aldolase 1, A isoform",,
1445664_at,12.09565,Igf1r,BM123510,null,Insulin?like growth factor I receptor,,
1435764_a_at,12.09312,AI120175,BB832885,Gemin7,gem (nuclear organelle) associated protein 7,,
1424105_a_at,12.09064,PTTG,AF069051,Pttg1,pituitary tumor?transforming 1,,
1452466_a_at,12.08828,g16,BC026130,Rbm6,RNA binding mo(f protein 6,,
1456314_x_at,12.08448,Cdk2ap1,AV217570,null,CDK2 (cyclin?dependent kinase 2)?associated protein 1,,
1449413_at,12.08198,M?LP,NM_033564,Mpv17l,"Mpv17 transgene, kidney disease mutant?like",,
1457952_at,12.07827,Cd80,BM121947,null,Transcribed locus,,
1423111_at,12.07794,Atpm,BM213627 ,Atp5f1a,"ATP synthase, H+ transpor(ng, mitochondrial F1 complex, alpha subunit, isoform 1",,
1437595_at,12.05059,MGC107144,BB531414,Tmem252,E030010A14RIKEN cDNA E030010A14 gene,,
1433941_at,12.03405,Pib5pa,BF582164,Inpp5j,"Phospha(dylinositol (4,5) bisphosphate 5?phosphatase, A",,
1445089_at,12.03095,D16Ertd778e,BG069671,null,"D16Ertd778DNA segment, Chr 16, ERATO Doi 778, expressed",,
1425309_at,12.02652,Catsper2,AF411816,Catsper2,"ca(on channel, sperm associated 2",,
1459110_at,12.01697,Myo9b,BB344956,null,Myosin IXb,,
1457612_at,12.0144,LOC14433,BG061840,null,"L0951H05?3 NIA Mouse Newborn Kidney cDNA Library2 (Short) Mus musculus cDNA clone L0951H05 3', mRNA sequence.",,
1416711_at,12.01064,Tbr1,NM_009322,Tbr1,T?box brain gene 1,,
1437689_x_at,12.00839,Clu,AV152288,null,Clusterin,,
1418289_at,12.0071,C78523,AI413223,Nes,nes(n,,
1430779_at,11.99812,Lmnt1,BB665367,Ntng1,netrin G1,,
1450292_a_at,11.99026,Nohma,NM_026489,Hormad1,HORMA domain containing 1,,
1448112_at,11.98951,Cox7c1,NM_007749,Cox7c,"cytochrome c oxidase, subunit VIIc",,
1439457_x_at,11.98926,Actb,BB503481,null,"BB503481 RIKEN full?length enriched, 0 day neonate kidney Mus musculus cDNA clone D630043I17 3', mRNA sequence.",,
1456933_at,11.97158,Smg7,BB713556,null,"Smg?7 homolog, nonsense mediated mRNA decay factor (C. elegans)",,
1459809_x_at,11.96454,1700063D05Rik,AV259946,null,RIKEN cDNA 1700063D05 gene,,
1453720_at,11.95855,mKIAA1917,AK011693,Rnf157,ring finger protein 157,,
1442791_x_at,11.9529,6720407P12Rik,BF459282,null,Transcribed locus,,
1429402_at,11.94714,MGC100315,AK003894,Glt8d2,glycosyltransferase 8 domain containing 2,,
1415736_at,11.94607,Eig1,NM_020031,Pfdn5,prefoldin 5,,
1419836_at,11.94084,null,AU040583,null,"AU040583 Mouse four?cell?embryo cDNA Mus musculus cDNA clone J0813D03 3', mRNA sequence.",,
1435319_at,11.93529,Ihpk2,BB777667,Ip6k2,Inositol hexaphosphate kinase 2,,
1454688_x_at,11.93166,Tmed10,AV103299,null,Transmembrane emp24?like trafficking protein 10 (yeast),,
1427058_at,11.91516,Eif4,AK010644,Eif4a1,eukaryo(c transla(on ini(a(on factor 4A1,,
1426211_at,11.90678,AI428876,BC021367,Tmem161a,transmembrane protein 161A,,
1428263_a_at,11.89385,0610040H15Rik,AK019181,Elob,"transcrip(on elonga(on factor B (SIII), polypep(de 2",,
1456694_x_at,11.88931,Ptpn6,AA921444,null,"Protein tyrosine phosphatase, non?receptor type 6",,
1437716_x_at,11.88874,Kif22,BB251322,null,"Transcribed locus, moderately similar to NP_001009645.1",,
1455938_x_at,11.8828,Rad21,AV025454,null,RAD21 homolog (S. pombe),,
1436065_at,11.88082,Hnrpa1,BB202432,Hnrnpa1,Heterogeneous nuclear ribonucleoprotein A1,,
1420262_at,11.87209,null,AV291437,null,"AV291437 RIKEN full?length enriched, 6 days neonate head cDNA clone similar to p53?induced apoptosis differen(ally expressed",,
1424182_at,11.87009,Acat,BG070487,Acat1,acetyl?Coenzyme A acetyltransferase 1,,
1439406_x_at,11.86779,Fars2,BB530332,null,Phenylalanine?tRNA synthetase 2 (mitochondrial),,
1443648_at,11.86473,9530003O04Rik,BB748696,null,RIKEN cDNA 9530003O04 gene,,
1447982_at,11.86463,C79326,C79326,Bbln,1110008P14RIKEN cDNA 1110008P14 gene,,
1428355_at,11.85072,Gm244,AI326285,Osbp2,oxysterol binding protein 2,,
1435856_x_at,11.84966,Smarcb1,AV310148,null,"AV310148 RIKEN full?length enriched, 8 days embryo cDNA clone 5730588L04 3' similar to integrase interactor 1a protein (INI1A)",,
1450740_a_at,11.83406,Eb1,BM228525 ,Mapre1,"microtubule?associated protein, RP/EB family, member 1",,
1443972_at,11.82697,Stag1,AI661897,null,Stromal an(gen 1,,
1425777_at,11.82644,Cchb1,AY094173,Cacnb1,"calcium channel, voltage?dependent, beta 1 subunit",,
1439288_at,11.81505,0710005I19Rik,BB197516,Pnma8a,RIKEN cDNA 0710005I19 gene,,
1456962_at,11.79645,Cntn2,BB451758,null,Contac(n 2,,
1452692_a_at,11.79406,2900010C23Rik,BI692577,Ndufv2,NADH dehydrogenase (ubiquinone) flavoprotein 2,,
1449776_at,11.7926,null,AV239269,null,"AV239269 RIKEN full?length enriched, 10 day neonate skin cDNA clone 4732433D11 3' similar to S100A3 calcium binding protein mRNA",,
1428728_at,11.79185,C81583,AK010015,Ddx51,DEAD (Asp?Glu?Ala?Asp) box polypep(de 51,,
1437853_x_at,11.78177,Ndn,BB074430,null,"BB074430 RIKEN full?length enriched, adult male diencephalon cDNA clone 9330015G11 3' similar to necdin",,
1437293_x_at,11.76743,Ust,BB561487,null,"BB561487 RIKEN full?length enriched, 10 days neonate cDNA clone similar to dermatan/chondroi(n sulfate 2?sulfotransferase",,
1459107_at,11.76355,Elk2,BG069378,Kcnh3,"potassium voltage?gated channel, subfamily H (eag?related), member 3",,
1424269_a_at,11.75808,Myln,BC026760,Myl6,"myosin, light polypep(de 6, alkali, smooth muscle and non?muscle",,
1437258_at,11.75512,null,BB120697,null,"BB120697 RIKEN full?length enriched, adult male urinary bladder cDNA clone 9530077P20 3' similar to ribosomal protein L21",,
1419831_at,11.75138,Ttpa,AA416453,Ttpa,expressed sequence AA416453,,
1455771_at,11.7503,Bzrap1,BB467799,Tspoap1,Benzodiazapine receptor associated protein 1,,
1428391_at,11.74875,C76746,AK004767,Rab3il1,RAB3A interac(ng protein (rabin3)?like 1,,
1447696_x_at,11.74353,Adcy5,BB091427,null,Adenylate cyclase 5,,
1452530_a_at,11.74104,AML1,X97306,Runx1,runt related transcrip(on factor 1,,
1437726_x_at,11.74021,Ryr2,BB111335,null,"BB111335 RIKEN full?length enriched, adult male urinary bladder cDNA clone 9530029K06 3' similar to complement protein C1q B?chain",,
1438340_at,11.72183,A930006D11,BB277600,null,"BB277600 RIKEN full?length enriched mouse cDNA library, C57BL/6J re(na adult Mus musculus cDNA clone A930006D11 3', mRNA sequence.",,
1448734_at,11.71605,Cp,BB332449,null,"BB332449 RIKEN full?length enriched, 6 days neonate medulla oblongata Mus musculus cDNA clone B730048G11 3', mRNA sequence.",,
1457144_at,11.71419,Scn2b,BG075631,null,"Sodium channel, voltage?gated, type II, beta",,
1428207_at,11.71406,AI448316,AK014498,Bcl7a,B?cell CLL/lymphoma 7A,,
1451103_at,11.70852,AU016300,BC011095,Haus4,"D14Ertd500DNA segment, Chr 14, ERATO Doi 500, expressed",,
1439236_at,11.70069,D15Ertd509e,AU022087,null,"D15Ertd509DNA segment, Chr 15, ERATO Doi 509, expressed",,
1420256_x_at,11.69732,Prph1,AV354142,Prph,"AV354142 RIKEN full?length enriched, 2 days neonate sympathe(c ganglion Mus musculus cDNA clone similar to peripherin",,
1437189_x_at,11.68938,Ccdc73,BB311104,null,Coiled?coil domain containing 73,,
1429874_at,11.68568,Spata17,AV265007,null,Spermatogenesis associated 17,,
1421591_at,11.68344,4930401M13Rik,NM_026134,Cylc1,"cylicin, basic protein of sperm head cytoskeleton 1",,
1443770_x_at,11.68069,Auts2,BB026407,null,"BB026407 RIKEN full?length enriched, adult male pituitary gland Mus musculus cDNA clone 5330432O04 3', mRNA sequence.",,
1447802_x_at,11.67657,AV099323,AV099323,AV099323,expressed sequence AV099323,,
1422065_at,11.66727,Ly55d,AF342896,Klrb1b,killer cell lec(n?like receptor subfamily B member 1D,,
1448484_at,11.66575,Amd?1,NM_009665,Amd1,S?adenosylmethionine decarboxylase 1,,
1439961_x_at,11.6652,null,BB730617,null,"BB730617 RIKEN full?length enriched, 8 cells embryo Mus musculus cDNA clone E860128D01 3', mRNA sequence.",,
1445069_at,11.66087,null,BG067348,null,"H3053D07?3 NIA Mouse 15K cDNA Clone Set Mus musculus cDNA clone H3053D07 3', mRNA sequence.",,
1447758_x_at,11.65841,Myst4,BB420030,null,"BB420030 RIKEN full?length enriched, 12 days embryo spinal cord cDNA clone C530020D16 3' similar to histone acetyltransferase querkopf",,
1447200_at,11.6507,Tbc1d5,BB705044,Kat6b,"TBC1 domain family, member 5",,
1440931_at,11.64507,Scrt2,BG807042,null,"Scratch homolog 2, zinc finger protein (Drosophila)",,
1436073_at,11.64501,A630007B06Rik,BB370775,Ccdc186,RIKEN cDNA A630007B06 gene,,
1453874_at,11.6406,4933401B06Rik,AV278276,null,4933401B06RIKEN cDNA 4933401B06 gene,,
1452363_a_at,11.64008,SERCA2,AA245637,Atp2a2,"ATPase, Ca++ transpor(ng, cardiac muscle, slow twitch 2",,
1415912_a_at,11.63974,MGC102403,NM_026533,Rps13,ribosomal protein S13,,
1437228_at,11.63925,BC048651,AV303824,Garin1b,CDNA sequence BC048651,,
1437326_x_at,11.63481,Ela3,AV060902,Cela3b,"Elastase 3, pancrea(c",,
1447217_at,11.6299,Uhrf2,BB292098,null,"Ubiqui(n?like, containing PHD and RING finger domains 2",,
1447977_x_at,11.62979,null,C77009,null,Transcribed locus,,
1449539_at,11.6243,Ms4a11,NM_022431,Ms4a6d,"membrane?spanning 4?domains, subfamily A, member 6D",,
1454763_at,11.6169,Foe,AW536361 ,Ankrd17,ankyrin repeat domain 17,,
1454491_at,11.61507,Gm672,AK013628,2900040J22Rik,2900040J22RIKEN cDNA 2900040J22 gene,,
1420123_at,11.61464,Tcta,C85065,null,T?cell leukemia transloca(on altered gene,,
1453532_at,11.6103,Ccnjl,AK016814,null,4933415A04RIKEN cDNA 4933415A04 gene,,
1439122_at,11.60827,Ddx6,BF226295,null,DEAD (Asp?Glu?Ala?Asp) box polypep(de 6,,
1445193_x_at,11.60812,D8Ertd575e,BG068436,null,"H3065E02?3 NIA Mouse 15K cDNA Clone Set Mus musculus cDNA clone H3065E02 3', mRNA sequence.",,
1450723_at,11.60309,Isl1,BQ176915,Isl1,"ISL1 transcrip(on factor, LIM/homeodomain",,
1425167_a_at,11.59676,Gng1,BC023064,Gngt1,"guanine nucleo(de binding protein (G protein), gamma transducing ac(vity polypep(de 1",,
1455802_x_at,11.59622,Agr2,AV066597,null,Anterior gradient 2 (Xenopus laevis),,
1443710_s_at,11.59495,Spats1,AW045373,null,"Spermatogenesis associated, serine?rich 1",,
1456437_x_at,11.59493,Wtap,BB558917,null,"BB558917 RIKEN full?length enriched, 2 days pregnant adult female ovary Mus musculus cDNA clone E330036H09 3', mRNA sequence.",,
1426133_a_at,11.59409,1500032H18Rik,BC020137,Mitd1,"MIT, microtubule interac(ng and transport, domain containing 1",,
1444242_at,11.59208,Slco2a1,AI606070,null,"Solute carrier organic anion transporter family, member 2a1",,
1425996_a_at,11.58956,P113,AF010600,Hltf,helicase?like transcrip(on factor,,
1427593_at,11.58326,Trim8,BB620112,null,Tripar(te mo(f protein 8,,
1433270_at,11.57816,Map3k7,AK020543,null,9530004M1RIKEN cDNA 9530004M16 gene,,
1423090_x_at,11.57407,Slc37a2,AV216331,null,"Solute carrier family 37 (glycerol?3?phosphate transporter), member 2",,
1439439_x_at,11.57215,Eef1d,AV104363,null,Eukaryo(c transla(on elonga(on factor 1 delta (guanine nucleo(de exchange protein),,
1458667_at,11.56756,4930519N13Rik,AV266695,Ninl,RIKEN cDNA 4930519N13 gene,,
1429780_at,11.56469,AI447426,AK014839,Ccdc39,coiled?coil domain containing 39,,
1433671_at,11.5625,AI447490,BI149851,Eogt,A130022J15RIKEN cDNA A130022J15 gene,,
1447261_at,11.55553,EG621976,AW120660,Tmem170b,"Predicted gene, EG621976",,
1434577_at,11.54121,BC052040,BQ031467,Cdin1,CDNA sequence BC052040,,
1440810_x_at,11.53371,LOC627905,BB246383,Gm6710,Similar to gonadotropin inducible ovarian transcrip(on factor 1,,
1437593_x_at,11.53036,Ctnnb1,BB449248,null,"BB449248 RIKEN full?length enriched, 9 days embryo Mus musculus cDNA clone D030070L05 3' similar to U35846 Mus musculus mRNA",,
1445701_at,11.5263,Atp2b4,BB560322,null,"ATPase, Ca++ transpor(ng, plasma membrane 4",,
1416217_a_at,11.51119,Rpl37a,NM_009084,Rpl37a,ribosomal protein L37a,,
1424736_at,11.51029,Ef?2,BC007152,Eef2,eukaryo(c transla(on elonga(on factor 2,,
1437458_x_at,11.50937,Clu,AV075715,null,Clusterin,,
1423945_a_at,11.50782,PKIgamma,BC026550,Pkig,"protein kinase inhibitor, gamma",,
1460597_at,11.5069,Asxl2,AV312178,null,Addi(onal sex combs like 2 (Drosophila),,
1454202_a_at,11.5048,MGC130090,AK006856,Cimip4,1700061J05RIKEN cDNA 1700061J05 gene,,
1419937_at,11.50319,AA536749,C76423,Mprip,Expressed sequence AA536749,,
1459977_x_at,11.5019,Ube1x,AV369982,Uba1,"AV369982 RIKEN full?length enriched, adult male colon Mus musculus cDNA clone 9030204G05 3', mRNA sequence.",,
1436690_at,11.49956,Lrba,BB494139,null,LPS?responsive beige?like anchor,,
1442308_at,11.49502,Smyd4,AW538800,null,SET and MYND domain containing 4,,
1456693_at,11.49229,4933406F09Rik,AV208162,null,"AV208162 RIKEN full?length enriched, adult male tes(s Mus musculus cDNA clone 1700105F04 3', mRNA sequence.",,
1438156_x_at,11.49171,Cpt1a,BB119196,null,"BB119196 RIKEN full?length enriched, adult male urinary bladder cDNA clone 9530069K06 3' similar to liver carni(ne palmitoyltransferase I",,
1425455_a_at,11.49109,chch,BC019472,Churc1,churchill domain containing 1,,
1422904_at,11.49104,AW107733,NM_018881,Fmo2,flavin containing monooxygenase 2,,
1440819_s_at,11.49093,BC059842,BB541793,Szt2,CDNA sequence BC059842,,
1449806_at,11.48728,null,AA420337,null,Transcribed locus,,
1458349_s_at,11.48382,null,BB278163,null,"10 days neonate skin cDNA, RIKEN full?length enriched library, clone:4732488M12 product:unclassifiable, full insert sequence",,
1453561_x_at,11.47324,Prkg1,BB809910,null,"Protein kinase, cGMP?dependent, type I",,
1447378_at,11.47215,null,BB750255,null,Transcribed locus,,
1433871_at,11.46483,R3hdm,BQ174018,R3hdm1,R3H domain 1 (binds single?stranded nucleic acids),,
1444647_at,11.4591,Plaa,BB532258,null,"Phospholipase A2, ac(va(ng protein",,
1427217_at,11.45708,Zfp455,AV172851,null,Zinc finger protein 455,,
1460627_at,11.45279,Thsd7b,AV270900,null,"Thrombospondin, type I, domain containing 7B",,
1425616_a_at,11.44791,AI85116; Ccdc23,BC002274,Svbp,coiled?coil domain containing 23,,
1427174_at,11.44698,LOC626802,BM235840,Gm14322,Similar to zinc finger protein 709,,
1442040_at,11.44356,6330530A05Rik,AW060767,Tmem125,RIKEN cDNA 6330530A05 gene,,
1435200_at,11.44131,6330419J24Rik,AV327542,Smim10l2a,RIKEN cDNA 6330419J24 gene,,
1439157_at,11.42871,Btn3,BB326394,Btnl9,butyrophilin?like 9,,
1422434_a_at,11.42486,AV072249,AK008695,Prss3b,2210010C04RIKEN cDNA 2210010C04 gene,,
1419861_at,11.42183,null,AA672901,null,"vn70c04.r1 Barstead mouse irradiated colon MPLRB7 Mus musculus cDNA clone IMAGE:1026534 5', mRNA sequence.",,
1422186_s_at,11.42109,Dia1,NM_029787,Cyb5r3,cytochrome b5 reductase 3,,
1427236_a_at,11.42086,FLJ10078,BB295149,Kmt2e,myeloid/lymphoid or mixed?lineage leukemia 5,,
1420821_at,11.41673,SPP,NM_030750,Sgpp1,sphingosine?1?phosphate phosphatase 1,,
1422008_a_at,11.41515,AQP?2,AF104416,Aqp3,aquaporin 3,,
1416125_at,11.41444,Dit1,U16959,Fkbp5,FK506 binding protein 5,,
1417769_at,11.41065,AI451058,AW208944 ,Psmc6,"proteasome (prosome, macropain) 26S subunit, ATPase, 6",,
1443694_at,11.40735,Rgs20,BB794177,null,"BB794177 RIKEN full?length enriched, Nullipotent stem cell CRL?2070 NE cDNA Mus musculus cDNA clone G430149D04 3', mRNA sequence.",,
1457661_at,11.40417,B930036G03Rik,BB405928,null,"BB405928 RIKEN full?length enriched, ES cells Mus musculus cDNA clone C330043O21 3', mRNA sequence.",,
1452253_at,11.40184,AU015004,AK018666,Crim1,cysteine rich transmembrane BMP regulator 1 (chordin like),,
1434488_at,11.39861,MGC6837,BQ176611,Arfrp1,ADP?ribosyla(on factor related protein 1,,
1437906_x_at,11.39254,Txnl1,AV106191,null,Thioredoxin?like 1,,
1443821_at,11.38357,Lect2,AW122758 Lect2,null,leukocyte cell?derived chemotaxin 2,,
1422859_a_at,11.3813,2810009A01Rik,NM_022891,Rpl23,ribosomal protein L23,,
1456254_at,11.37975,Inpp4b,BM242772,null,"Inositol polyphosphate?4?phosphatase, type II",,
1424165_a_at,11.37731,SIPL1,BC016203,Sharpin,SHANK?associated RH domain interac(ng protein,,
1443911_at,11.3711,Xpo1,BB364789,null,"Expor(n 1, CRM1 homolog (yeast)",,
1424750_at,11.36948,Bsg2,BC012239,Zbtb1,zinc finger and BTB domain containing 1,,
1458340_at,11.36617,null,BB361377,null,Transcribed locus,,
1447729_s_at,11.36226,D10Wsu102e,AV173195,Nopchap1,"AV173195 Mus musculus tes(s C57BL/6J adult Mus musculus cDNA clone 4932403C22, mRNA sequence.",,
1444156_at,11.36143,9230112E08Rik,BB586516,null,"BB586516 RIKEN full?length enriched, adult male urinary bladder Mus musculus cDNA clone 9570002M10 5', mRNA sequence.",,
1433866_x_at,11.35641,PAG,AI120393,Prdx1,peroxiredoxin 1,,
1426414_a_at,11.34374,SAG,BF163003,Rnf7,ring finger protein 7,,
1434731_x_at,11.34199,Prdx1,AV124700,null,"AV124700 Mus musculus C57BL/6J 11?day embryo Mus musculus cDNA clone 2700022E04, mRNA sequence.",,
1423406_at,11.34025,AI746429,BC026494,Sv2a,synap(c vesicle glycoprotein 2 a,,
1424695_at,11.33458,AI430961,AK008190,Fam210b,2010011I20 RIKEN cDNA 2010011I20 gene,,
1449326_x_at,11.32945,Saa1,NM_011314,Saa2,serum amyloid A 2,,
1440238_at,11.32921,Gltscr1,BB158599,Bicra,Glioma tumor suppressor candidate region gene 1,,
1429311_at,11.32542,Ube2q,AK009324,Ube2q1,ubiqui(n?conjuga(ng enzyme E2Q (puta(ve) 1,,
1418188_a_at,11.32048,Ramp2,AF146523,Ramp2,receptor (calcitonin) ac(vity modifying protein 2,,
1438315_x_at,11.31453,Akr7a5,BB206121,null,"BB206121 RIKEN full?length enriched, 0 day neonate thymus Mus musculus cDNA clone A430072K05 3', mRNA sequence.",,
1417073_a_at,11.31392,QkI,NM_021881,Qki,quaking,,
1418934_at,11.31391,Mab21l2,NM_011839,Mab21l2,mab?21?like 2 (C. elegans),,
1436972_at,11.31192,Gpr61,AV291075,null,G protein?coupled receptor 61,,
1455795_at,11.31136,Sart2,BM207218 ,Dse,dermatan sulfate epimerase,,
1434429_at,11.30769,Syt14l,AV348245,Syt16,synaptotagmin XVI,,
1440755_at,11.30048,Nbr1,BB728878,null,Neighbor of Brca1 gene 1,,
1457249_at,11.2985,Ubap2l,AI482041,null,Ubiqui(n associated protein 2?like,,
1455316_x_at,11.29317,Kcnh6,AI987693,null,"Potassium voltage?gated channel, subfamily H (eag?related), member 6",,
1448777_at,11.28859,BM28,NM_008564,Mcm2,minichromosome maintenance deficient 2 mito(n (S. cerevisiae),,
1417054_a_at,11.28483,Sf3b14,NM_0253230610009D07RIKEN cDNA 0610009D07 gene,Sf3b6,null,,
1456242_at,11.28309,null,AV101904,null,"AV101904 Mus musculus C57BL/6J ES cell Mus musculus cDNA clone 2410083I11, mRNA sequence.",,
1417052_at,11.28053,C10?II,BC014783,Psmb3,"proteasome (prosome, macropain) subunit, beta type 3",,
1434525_at,11.28031,Pkn3,BE447438,null,Protein kinase N3,,
1437062_s_at,11.27891,4930535B03Rik,BB131270,Rprd2,"BB131270 RIKEN full?length enriched, 16 days neonate cerebellum Mus musculus cDNA clone 9630050K01 3', mRNA sequence.",,
1432169_at,11.27674,4921524H24Rik,AK014957,4930523O13Rik,4930523O1 RIKEN cDNA 4930523O13 gene,,
1434976_x_at,11.27006,Eif4ebp1,AV216412,null,"AV216412 RIKEN full?length enriched, ES cells Mus musculus cDNA clone similar to insulin?s(mulated eIF?4E binding protein PHAS?I",,
1447533_at,11.26029,1110059F07Rik,BE956260,Rab3gap2,Transcribed locus,,
1459231_at,11.25453,Pkn1,BB298101,null,Protein kinase N1,,
1436704_x_at,11.25368,Mthfd1,AV215673,null,"Methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthase",,
1459296_at,11.24762,AW049199,BB360492,Ube2z,ubiqui(n?conjuga(ng enzyme E2Z (puta(ve),,
1432695_at,11.24754,4921527H02Rik,AK014973,null,4921527H02RIKEN cDNA 4921527H02 gene,,
1436768_x_at,11.24727,E130112L23Rik,BI412259,Arhgef40,RIKEN cDNA E130112L23 gene,,
1443867_at,11.24551,AI447928,BB320633,Ankrd12,"BB320633 RIKEN full?length enriched, adult male corpora quadrigemina Mus musculus cDNA clone B230387C07 3', mRNA sequence.",,
1434812_s_at,11.24271,Dok7,BB752451,null,Docking protein 7,,
1420809_a_at,11.23752,Chp,NM_0197691500003O0 RIKEN cDNA 1500003O03 gene,Chp1,null,,
1431103_at,11.23412,1700030O10Rik,AK016350,1700003P14Rik,1700003P14RIKEN cDNA 1700003P14 gene,,
1437375_at,11.22965,Rfx3,BB745175,null,"0 day neonate thymus cDNA, RIKEN full?length enriched library, clone:A430010E21 product:unclassifiable, full insert sequence",,
1437553_at,11.22949,Brcc3,AV296359,null,"BRCA1/BRCA2?containing complex, subunit 3",,
1450368_a_at,11.22765,Cnb1,NM_024459,Ppp3r1,"protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)",,
1423031_at,11.22371,EMP,AV011036,Maea,macrophage erythroblast aVacher,,
1427181_at,11.22118,C18orf1,BQ032363,Ldlrad4,"D18Ertd653DNA segment, Chr 18, ERATO Doi 653, expressed",,
1450741_at,11.21853,Stau,AW537709 ,Stau1,staufen (RNA binding protein) homolog 1 (Drosophila),,
1456578_x_at,11.21804,Lasp1,BB260833,null,LIM and SH3 protein 1,,
1437301_a_at,11.21695,Mib,BB153808,Mib1,"BB153808 RIKEN full?length enriched, 16 days neonate thymus cDNA clone similar to dishevelled segment polarity protein homolog (Dvl?1)",,
1448847_at,11.19927,Tde1,NM_012032,Serinc3,serine incorporator 3,,
1416937_at,11.19827,Gabarap,BC024621,Gabarap,gamma?aminobutyric acid receptor associated protein,,
1426061_x_at,11.19652,Cul4a,BC007159,null,"Mus musculus mRNA similar to L1 repeat, Tf subfamily, member 30 (cDNA clone MGC:7372 IMAGE:3487559), complete cds.",,
1453928_a_at,11.19169,SS?B,AK017822,Ssb,Sjogren syndrome an(gen B,,
1454749_at,11.17974,Pcnt,BG069597,null,Pericentrin (kendrin),,
1430240_a_at,11.17678,Cln,AK019534,Clgn,calmegin,,
1423950_at,11.17622,Kcnab4,BC017518,Kcnab3,"potassium voltage?gated channel, shaker?related subfamily, beta member 3",,
1423032_at,11.17228,2810465O16Rik,AV107150,Rpl39,ribosomal protein L39,,
1421437_x_at,11.17032,PcdhbN,BI734351,Pcdhb14,protocadherin beta 14,,
1433601_at,11.16815,Adra2a,BB262415,null,"Adrenergic receptor, alpha 2a",,
1443620_at,11.16212,Gpc4,BB212497,null,Glypican 4,,
1451698_at,11.15278,Dda3,BC008994,Psrc1,proline/serine?rich coiled?coil 1,,
1451967_x_at,11.15021,IPOB,BC004096,Kpnb1,karyopherin (impor(n) beta 1,,
1460069_at,11.1419,Smc6l1,BB056038,Smc6,"BB056038 RIKEN full?length enriched mouse cDNA library, C57BL/6J wolffian duct includes surrounding region male 12 days cDNA clone",,
1457630_at,11.13705,Whsc1l1,BB164523,Nsd3,Wolf?Hirschhorn syndrome candidate 1?like 1 (human),,
1434346_at,11.12711,Denn,BB827830,Rufy2,RUN and FYVE domain?containing 2,,
1437984_x_at,11.12157,H2?K1,BB461609,H2-K1,"Histocompa(bility 2, K1, K region",,
1454433_at,11.12035,6330526H18Rik,AK018221,null,6330526H18RIKEN cDNA 6330526H18 gene,,
1450763_x_at,11.11804,Int?4; Wnt?3,NM_009521,Wnt3,wingless?related MMTV integra(on site 3,,
1443039_at,11.11028,Wbscr5,BB235498,Lat2,"BB235498 RIKEN full?length enriched mouse cDNA library, C57BL/6J thymus 3 days neonate cDNA clone A630054G03 3'",,
1441379_at,11.10941,AU045094,AU043288,null,Expressed sequence AU045094,,
1439596_at,11.10395,null,BB526799,null,"BB526799 RIKEN full?length enriched, 15 days embryo head Mus musculus cDNA clone D930036E12 3', mRNA sequence.",,
1430827_a_at,11.09987,FAK,AV301702,Ptk2,PTK2 protein tyrosine kinase 2,,
1459012_at,11.09875,A730041O05Rik,BB750896,null,RIKEN cDNA A730041O05 gene,,
1441988_at,11.09736,S17,AI482429,Spag5,sperm associated an(gen 5,,
